VIN,Selling Dealership,Vehicle,Floor Price,Orig. Closing Price
1HD1KRC17JB641707,Mike Anderson CDJ Rochester,2018 Harley-Davidson FLHXS Street Glide Spec.,"$22,500",$0
3GYFNJE39DS625395,JD Byrider of Kokomo,2013 Cadillac SRX Premium Collection,"$22,500",$0
2HKYF18503H557151,Andy Mohr Kia,2003 Honda Pilot EX-L,"$2,000",$0
1GKER33787J131434,Andy Mohr Kia,2007 GMC Acadia SLT-2,"$1,500",$600
SAJWJ6DL8GMK30842,Bentley Indianapolis,2016 Jaguar F-Type R,"$43,990",$0
2HGFC2F80KH511637,Bentley Indianapolis,2019 Honda Civic Sport,"$15,990","$13,600"
SAJWA4EC4CMB48381,Bentley Indianapolis,2012 Jaguar XK XKR,"$19,490",$0
1D7RV1GT9BS566198,"Hobson Chevrolet Buick GMC, LLC",2011 Ram 1500 SLT,"$5,500",$0
2G2WP552X61182885,Andy Mohr Kia,2006 Pontiac Grand Prix Base,"$2,000",$0
2FMDK3JC8DBB52369,Brad Howell Inc,2013 Ford Edge SEL,"$1,600",$0
WBABW33474PL25634,Crown Autos,2004 BMW 3-Series 325Ci,"$4,000",$0
5N1DR3DK4NC210980,DeFOUW Nissan of Lafayette,2022 Nissan Pathfinder Platinum,"$31,900","$29,400"
WAUVFAFH5AN015604,Crown Autos,2010 Audi A5 Prestige,"$3,500",$0
1FMFU20527LA53275,Andy Mohr Kia,2007 Ford Expedition Limited,"$3,000",$0
1N4AA5AP3CC847386,"Hobson Chevrolet Buick GMC, LLC",2012 Nissan Maxima S,"$2,000","$1,000"
1G11Z5S33LU106088,Andy Mohr Kia,2020 Chevrolet Impala LT,"$13,300","$11,000"
1FTEW1EG0FFA00683,Ed Martin Toyota,2015 Ford F-150 Lariat,"$13,000",$0
1FDAF47R09EB15515,Hunter Ford,2009 Ford F450SD XL,"$18,000",$0
WBAKF3C54DJ385429,Trent Family Auto,2013 BMW 3-Series 328xi,"$13,800",$0
JA4AS3AW0DU001757,"Hobson Chevrolet Buick GMC, LLC",2013 Mitsubishi Outlander SE,"$1,300",$650
2G1WG5E35C1233492,"Hobson Chevrolet Buick GMC, LLC",2012 Chevrolet Impala LT Fleet,"$1,000",$300
4S4BRCLC2E3312828,"Hobson Chevrolet Buick GMC, LLC",2014 Subaru Outback 2.5i Limited,"$3,600",$0
3FA6P0HD5JR239709,Hunter Ford,2018 Ford Fusion SE,"$10,000",$0
1FMFU17L24LA58874,Tom Wood Honda,2004 Ford Expedition Eddie Bauer,"$2,000","$1,100"
1FMEE5BP4NLB40505,Hunter Ford,2022 Ford Bronco Base,"$45,500",$0
1FTFW1ET7EFC30320,Hunter Ford,2014 Ford F-150 XLT,"$4,233","$2,500"
1FTFW1E85NFB47125,Andy Mohr Buick GMC,2022 Ford F-150 XLT,"$37,900",$0
1FT8W3BT0FEA86237,Hunter Ford,2015 Ford F-350 Super Duty Platinum,"$37,500",$0
1FDXE45S02HB32676,Bentley Indianapolis,2002 Ford Commercial Vans E450,"$7,990",$0
